,lr,weight_decay,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time
0,0.01,0.1,1,1000,20.0,0.7232,0.5689551894494219,0.016825821,0.07685379683971405,0.07078172911962102,0.04948923,0.023689736,0.00039699048,0.10181287,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:28.380115
1,0.01,0.1,3,1000,200.0,0.7384,0.5375214530502957,0.003546976,0.03991241380572319,0.035355747728632564,0.06967563,0.020936765,0.0038783303,0.14648701,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:52.898392
2,0.01,0.1,8,1000,2000.0,0.7182,0.610698701753072,0.060693573,0.12791390717029572,0.13330014460196327,0.21323168,0.031498477,0.14872035,0.3036207,0.8485757,0.0,0.8485758,0.8485758,0.24383035,5.081254e-09,0.24383037,0.24383034,0 days 00:02:24.992487
3,0.01,0.01,1,1000,20.0,0.7324,0.5657786529786497,0.01492065,0.06864549219608307,0.06288699919243881,0.056864668,0.030951269,0.00080920546,0.15064609,0.9842305,0.03167769,1.0,0.9173002,0.04986757,0.10017364,0.2615197,0.0,0 days 00:01:31.016398
4,0.01,0.01,3,1000,200.0,0.7398,0.5418062745994568,0.0058496846,0.05060746520757675,0.046415841856855704,0.06525575,0.026230205,0.0044831415,0.14638247,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:49.158149
5,0.01,0.01,8,1000,2000.0,0.691,0.6066276092254148,0.052633088,0.1592114418745041,0.15865468962749074,0.13347478,0.049157977,0.029004393,0.32114893,0.74869764,0.0,0.7486976,0.7486976,0.26501665,3.710823e-09,0.26501665,0.26501662,0 days 00:02:43.227951
6,0.01,0.001,1,1000,20.0,0.7288,0.5643765787690997,0.014196588,0.07161495834589005,0.06561534723003934,0.07647407,0.03930541,0.00022488918,0.15894619,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:42.343208
7,0.01,0.001,3,1000,200.0,0.7362,0.5396103133427658,0.004953797,0.04569458216428757,0.04347565923722068,0.06954025,0.032152884,0.0038585796,0.1890735,0.99999905,2.6318867e-06,1.0,0.9999844,2.7405927e-06,8.336723e-06,4.9571932e-05,0.0,0 days 00:02:05.551355
8,0.01,0.001,8,1000,2000.0,0.5666,0.6513390675801728,0.07518725,0.20037934184074402,0.21154601601471734,0.29531187,0.033438347,0.1989562,0.36951923,0.54505306,0.0,0.5450531,0.5450531,0.3697264,0.0,0.36972636,0.36972636,0 days 00:02:09.194460
9,0.001,0.1,1,1000,20.0,0.7268,0.567196717899207,0.017048722,0.08153639733791351,0.0728285072471721,0.0295632,0.009825399,0.00032491845,0.054315608,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:53.306077
10,0.001,0.1,3,1000,200.0,0.733,0.5428022120270465,0.009002797,0.038607873022556305,0.03176103807393302,0.042498413,0.03504491,0.00026160383,0.16686407,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:30.153936
11,0.001,0.1,8,1000,2000.0,0.7244,0.5737157665211021,0.037426442,0.09004862606525421,0.09542169550468754,0.17203227,0.060432814,0.0727085,0.31531104,1.0,8.78141e-08,1.0,0.9999995,1.2164126e-07,2.5892163e-07,1.5078915e-06,0.0,0 days 00:02:02.997172
12,0.001,0.01,1,1000,20.0,0.7254,0.567972578015198,0.016373217,0.07697764039039612,0.06973456867148707,0.03618598,0.010122604,0.0002556354,0.06489326,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:02:19.968171
13,0.001,0.01,3,1000,200.0,0.7324,0.5436484574469428,0.009642157,0.03976714611053467,0.03268612353853023,0.034481682,0.02507385,0.00023117445,0.13384223,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:19.190592
14,0.001,0.01,8,1000,2000.0,0.7062,0.608678920597206,0.059223052,0.13659098744392395,0.13893958307018112,0.12764974,0.04664231,0.02820392,0.24743345,0.9991476,0.00172871,1.0,0.99348605,0.0026945358,0.005466816,0.020597998,1.5131182e-07,0 days 00:00:51.664626
15,0.001,0.001,1,1000,20.0,0.7228,0.568018619693037,0.01590605,0.08055345714092255,0.07167981367071698,0.031421516,0.011136882,0.00024645744,0.06042024,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:01.644764
16,0.001,0.001,3,1000,200.0,0.7346,0.5426414379417869,0.009194384,0.03725040704011917,0.032050904487737716,0.041126348,0.02712535,0.00028809093,0.13628057,1.0,4.4838046e-08,1.0,0.9999997,3.972714e-08,1.3855333e-07,9.0473486e-07,0.0,0 days 00:00:44.958317
17,0.001,0.001,8,1000,2000.0,0.7252,0.6262654480611698,0.06709083,0.14802010357379913,0.15793089568724464,0.07277708,0.026465531,0.038667742,0.22222857,0.99941146,0.0012623688,1.0,0.99504983,0.0018608785,0.0039918874,0.01565252,0.0,0 days 00:00:52.704625
18,0.0001,0.1,1,1000,20.0,0.6606,0.6410886609869795,0.075837664,0.13489732146263123,0.1552082255493624,0.047268547,0.019014362,0.009858539,0.15010647,0.99997467,5.3999527e-05,1.0,0.9997212,5.4978165e-05,0.00012132169,0.0006160196,0.0,0 days 00:00:57.681434
19,0.0001,0.1,3,1000,200.0,0.7352,0.5463905141227257,0.0060782405,0.04163145273923874,0.027542025721423127,0.021802006,0.007345403,0.0009392925,0.050213277,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:56.285131
20,0.0001,0.1,8,1000,2000.0,0.7378,0.5404667086909829,0.00839048,0.035304006189107895,0.02957726002443802,0.04892881,0.028209876,1.5316677e-07,0.1564165,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:05.312521
21,0.0001,0.01,1,1000,20.0,0.7062,0.6292979165022751,0.06878739,0.13917091488838196,0.1446572717737181,0.034025285,0.012461909,0.013061378,0.16216108,0.98008025,0.039993823,1.0,0.9001209,0.0629919,0.12647156,0.31584543,0.0,0 days 00:01:12.060069
22,0.0001,0.01,3,1000,200.0,0.7334,0.544911035416228,0.0061349114,0.04154578223824501,0.030078282241128188,0.028873352,0.013497411,0.0015376661,0.065675095,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:59.538515
23,0.0001,0.01,8,1000,2000.0,0.7366,0.5362831155782508,0.005500477,0.0325961709022522,0.02899706235220565,0.05494074,0.029409112,3.1785934e-05,0.15300399,1.0,0.0,1.0,1.0,2.6098121e-09,1.167674e-08,7.5394574e-08,0.0,0 days 00:00:59.367676
24,0.0001,0.001,1,1000,20.0,0.6166,0.6485028957315399,0.07974545,0.1448233276605606,0.16493968867173023,0.04547535,0.014207413,0.019984152,0.13606077,0.96033627,0.04882806,1.0,0.8964216,0.121554345,0.14948758,0.3120294,0.0,0 days 00:00:50.227884
25,0.0001,0.001,3,1000,200.0,0.7342,0.5477687906160478,0.006745234,0.04168647900223732,0.03058534113240967,0.024966918,0.009933596,0.0014108617,0.058649503,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:51.252908
26,0.0001,0.001,8,1000,2000.0,0.737,0.5366132515661184,0.0075528724,0.03480297327041626,0.0283008816425424,0.049091853,0.024965543,1.05130395e-13,0.12260722,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:10.209669
